subscription_id,company_name,contact_email,plan,status,mrr,arr,seats,usage_percent,churn_risk,region,industry,signup_date,renewal_date,last_active,source,account_manager
SUB-001,TechVista Solutions,ops@techvista.io,enterprise,active,24999,299988,45,82,low,North America,SaaS,2024-06-15,2025-06-15,2025-07-18,inbound,Priya Sharma
SUB-002,DataFlow Analytics,admin@dataflow.co,professional,active,9999,119988,18,71,low,Europe,Analytics,2024-07-01,2025-07-01,2025-07-17,outbound,Vikram Iyer
SUB-003,CloudBridge Inc,billing@cloudbridge.com,enterprise,active,34999,419988,72,91,low,North America,Infrastructure,2024-03-10,2025-03-10,2025-07-19,partner,Anita Desai
SUB-004,PixelCraft Studio,hello@pixelcraft.design,starter,churned,2999,35988,5,12,high,Asia Pacific,Design,2024-08-20,2025-08-20,2025-03-15,inbound,Rajesh Nair
SUB-005,NeuralEdge AI,finance@neuraledge.ai,enterprise,active,49999,599988,120,88,low,North America,AI/ML,2024-01-05,2025-01-05,2025-07-20,outbound,Priya Sharma
SUB-006,GreenLeaf Farms,info@greenleaf.org,professional,active,7999,95988,12,65,medium,Asia Pacific,Agriculture,2024-09-12,2025-09-12,2025-07-16,inbound,Vikram Iyer
SUB-007,Quantum Systems,billing@quantumsys.de,enterprise,active,29999,359988,55,78,low,Europe,Engineering,2024-04-22,2025-04-22,2025-07-18,partner,Anita Desai
SUB-008,SwiftCart Retail,ops@swiftcart.in,professional,active,12999,155988,22,73,low,Asia Pacific,E-commerce,2024-05-30,2025-05-30,2025-07-19,outbound,Rajesh Nair
SUB-009,MediTrack Health,admin@meditrack.health,enterprise,active,39999,479988,85,86,low,North America,Healthcare,2024-02-14,2025-02-14,2025-07-20,inbound,Priya Sharma
SUB-010,CodeForge Labs,team@codeforge.dev,starter,active,4999,59988,8,58,medium,Europe,DevTools,2024-10-01,2025-10-01,2025-07-15,inbound,Vikram Iyer
SUB-011,AeroVista Drones,sales@aerovista.co,professional,churned,14999,179988,28,22,high,North America,Aerospace,2024-06-08,2025-06-08,2025-04-10,outbound,Anita Desai
SUB-012,FinStack Capital,billing@finstack.io,enterprise,active,44999,539988,95,92,low,North America,Fintech,2024-01-20,2025-01-20,2025-07-19,partner,Rajesh Nair
SUB-013,EduSpark Platform,info@eduspark.edu,professional,active,8999,107988,15,67,low,Asia Pacific,EdTech,2024-07-15,2025-07-15,2025-07-17,inbound,Priya Sharma
SUB-014,RoboLogic Automation,ops@robologic.com,enterprise,active,32999,395988,62,84,low,Europe,Robotics,2024-03-25,2025-03-25,2025-07-18,outbound,Vikram Iyer
