shipment_id,sender_name,sender_email,receiver_city,receiver_state,shipment_type,weight_kg,amount,shipping_cost,profit,status,payment_status,ship_date,delivery_date,carrier,warehouse,priority,tracking_status
SHP-2001,Rajesh Industries,rajesh.ind@corp.in,Chennai,Tamil Nadu,Parcel,12.5,8500,1200,7300,delivered,paid,2025-01-03,2025-01-07,BlueDart,Mumbai-W1,express,delivered
SHP-2002,Neha Fashions,neha.f@gmail.com,Lucknow,Uttar Pradesh,Bulk,45.0,22000,3500,18500,delivered,paid,2025-01-05,2025-01-12,Delhivery,Delhi-N1,standard,delivered
SHP-2003,TechVista Solutions,techvista@corp.in,Bangalore,Karnataka,Fragile,3.2,45000,2800,42200,delivered,paid,2025-01-07,2025-01-10,FedEx,Bangalore-S1,express,delivered
SHP-2004,Anand Textiles,anand.t@yahoo.com,Jaipur,Rajasthan,Bulk,78.0,15000,4200,10800,delivered,paid,2025-01-09,2025-01-16,DTDC,Delhi-N1,standard,delivered
SHP-2005,Priya Cosmetics,priya.cos@outlook.com,Kolkata,West Bengal,Parcel,2.8,3500,800,2700,delivered,paid,2025-01-11,2025-01-15,Ecom Express,Kolkata-E1,standard,delivered
SHP-2006,GreenLeaf Organics,greenleaf@corp.in,Hyderabad,Telangana,Perishable,25.0,12000,3200,8800,delivered,paid,2025-01-13,2025-01-15,BlueDart,Hyderabad-S2,express,delivered
SHP-2007,Kiran Electronics,kiran.e@gmail.com,Pune,Maharashtra,Fragile,8.5,35000,1800,33200,delivered,paid,2025-01-15,2025-01-19,Delhivery,Mumbai-W1,standard,delivered
SHP-2008,Suresh Pharma,suresh.ph@corp.in,Ahmedabad,Gujarat,Temperature Controlled,5.0,28000,4500,23500,delivered,paid,2025-01-17,2025-01-20,FedEx,Mumbai-W1,express,delivered
SHP-2009,Meera Handicrafts,meera.h@yahoo.co.in,Chandigarh,Punjab,Fragile,6.0,18000,1500,16500,delivered,paid,2025-01-19,2025-01-24,DTDC,Delhi-N1,standard,delivered
SHP-2010,DataFlow Systems,dataflow@corp.in,Noida,Uttar Pradesh,Document,0,2500,500,2000,delivered,paid,2025-01-21,2025-01-22,BlueDart,Delhi-N1,express,delivered
SHP-2011,Lakshmi Silks,lakshmi.s@gmail.com,Coimbatore,Tamil Nadu,Bulk,32.0,42000,3800,38200,delivered,paid,2025-01-23,2025-01-30,Delhivery,Bangalore-S1,standard,delivered
SHP-2012,Apex Manufacturing,apex.mfg@corp.in,Indore,Madhya Pradesh,Heavy Machinery,120.0,85000,12000,73000,delivered,paid,2025-01-25,2025-02-05,DTDC,Mumbai-W1,standard,delivered
SHP-2013,Vivek Traders,vivek.tr@outlook.com,Nagpur,Maharashtra,Parcel,4.5,5200,900,4300,delivered,paid,2025-01-27,2025-01-31,Ecom Express,Mumbai-W1,standard,delivered
SHP-2014,Sunrise Exports,sunrise@corp.in,Visakhapatnam,Andhra Pradesh,Bulk,55.0,38000,5200,32800,delivered,paid,2025-01-29,2025-02-06,BlueDart,Hyderabad-S2,standard,delivered
SHP-2015,CloudNine Tech,cloudnine@corp.in,Gurgaon,Haryana,Document,0,1800,400,1400,delivered,paid,2025-01-31,2025-02-01,Delhivery,Delhi-N1,express,delivered
SHP-2016,Patel Brothers,patel.bros@gmail.com,Surat,Gujarat,Bulk,68.0,29000,4800,24200,delivered,paid,2025-02-02,2025-02-10,DTDC,Mumbai-W1,standard,delivered
SHP-2017,Madhuri Collections,madhuri.c@yahoo.com,Bhopal,Madhya Pradesh,Parcel,7.2,9500,1100,8400,delivered,paid,2025-02-04,2025-02-08,FedEx,Delhi-N1,express,delivered
SHP-2018,InnovateTech,innovate@corp.in,Thiruvananthapuram,Kerala,Fragile,2.0,52000,3200,48800,delivered,paid,2025-02-06,2025-02-10,BlueDart,Bangalore-S1,express,delivered
SHP-2019,Gupta Spices,gupta.sp@outlook.com,Patna,Bihar,Parcel,15.0,6800,1400,5400,delivered,paid,2025-02-08,2025-02-14,Ecom Express,Kolkata-E1,standard,delivered
SHP-2020,Royal Furnishings,royal.f@gmail.com,Dehradun,Uttarakhand,Heavy,42.0,35000,5500,29500,delivered,paid,2025-02-10,2025-02-18,Delhivery,Delhi-N1,standard,delivered
SHP-2021,Anika Jewellers,anika.j@corp.in,Mumbai,Maharashtra,Valuable,0.5,65000,2000,63000,delivered,paid,2025-02-12,2025-02-13,FedEx,Mumbai-W1,express,delivered
SHP-2022,Harvest Foods,harvest@yahoo.co.in,Kochi,Kerala,Perishable,30.0,18000,3600,14400,delayed,paid,2025-02-14,2025-02-22,DTDC,Bangalore-S1,express,delayed_at_hub
SHP-2023,DigiPrint Solutions,digiprint@corp.in,Guwahati,Assam,Parcel,8.0,7200,1800,5400,delivered,paid,2025-02-16,2025-02-24,BlueDart,Kolkata-E1,standard,delivered
SHP-2024,Sharma Steels,sharma.st@gmail.com,Raipur,Chhattisgarh,Heavy Machinery,95.0,48000,8500,39500,delivered,paid,2025-02-18,2025-03-01,DTDC,Mumbai-W1,economy,delivered
SHP-2025,Nidhi Cosmetics,nidhi.cos@outlook.com,Ranchi,Jharkhand,Parcel,3.0,4200,950,3250,delivered,paid,2025-02-20,2025-02-25,Ecom Express,Kolkata-E1,standard,delivered
SHP-2026,TrueNorth Logistics,truenorth@corp.in,Jammu,Jammu & Kashmir,Bulk,38.0,22000,4200,17800,delivered,paid,2025-02-22,2025-03-04,Delhivery,Delhi-N1,standard,delivered
SHP-2027,Bharat Auto Parts,bharat.ap@gmail.com,Ludhiana,Punjab,Heavy,28.0,15500,2800,12700,delivered,paid,2025-02-24,2025-03-02,BlueDart,Delhi-N1,standard,delivered
SHP-2028,Sapna Publishers,sapna.pub@yahoo.com,Mysore,Karnataka,Bulk,50.0,8000,3500,4500,delivered,paid,2025-02-26,2025-03-06,DTDC,Bangalore-S1,economy,delivered
SHP-2029,MediCare Supplies,medicare@corp.in,Vadodara,Gujarat,Temperature Controlled,4.0,32000,4800,27200,delivered,paid,2025-02-28,2025-03-03,FedEx,Mumbai-W1,express,delivered
SHP-2030,Kavitha Handicrafts,kavitha.h@outlook.com,Mangalore,Karnataka,Fragile,5.5,12000,1200,10800,returned,paid,2025-03-02,2025-03-10,Ecom Express,Bangalore-S1,standard,returned_to_sender
SHP-2031,OmniTech Solutions,omnitech@corp.in,Bhubaneswar,Odisha,Document,0,3200,600,2600,delivered,paid,2025-03-04,2025-03-05,BlueDart,Kolkata-E1,express,delivered
